affiliation,latitude,longitude
Northeastern University,42.3351065,-71.0892575
"Northeastern University, Boston",42.3351065,-71.0892575
Northern Border University,30.91,41.07
Oak Ridge National Laboratory,35.9301332,-84.3119307
Oakland University,42.6666333,-83.2065575
"Oakland University, Rochester, Michigan",42.6666333,-83.2065575
Ohio State University,40.0056982,-83.0286573
Oregon State University,44.563056,-123.2839234
Pacific Northwest National Laboratory,38.8851152,-77.024906
Para Federal University,-1.4677334,-48.4435021
"Peopleware, Speditionstraße 5, 40221 Düsseldorf, Germany",51.2143336,6.7494335
Politecnico di Torino,45.0636974,7.6575263
Princess Nourah bint Abdulrahman University,24.846,46.72
Princeton Plasma Physics Laboratory,40.3486652,-74.6018379
RIKEN Center for Computational Science,34.6528736,135.2207474
Rajagiri School of Engineering & Technology,9.9931165,76.3580901
"Rebellions Inc., Seongnam-si, Republic of Korea",36.638392,127.6961188
Rensselaer Polytechnic Institute,42.7298969,-73.6796678
Rochester University,43.129864,-77.628784
Ronin Institute,40.81,-74.2
SLAC National Accelerator Laboratory,37.4167876,-122.2049266
Salhi Ahmed University Center,33.16,-0.19
SanJose,11.9923308,75.7307047
Shanghai Aerospace Electronic Technology Institute,31.06,121.39
Shanghai Jiao Tong University,31.2008911,121.4283949
Shanghai Maritime University,30.8769821,121.9002178
Shanghai University of Medicine and Health Sciences,31.12,121.58
Shanghai University of Traditional Chinese Medicine,31.2,121.59
"Shenzhen Loop Area Institute The Chinese University of Hong Kong, Shenzhen",22.5076,114.0538
Shenzhen University of Advanced Technology,22.5892,113.9718
South Dakota State University,44.344449,-96.7982371
Southern Methodist University,32.8418011,-96.7815281
Stanford University,37.4275,-122.1697
"State Administration for Market Regulation, Huhehaote",40.5,111.43
Stevens Institute of Technology,40.7448096,-74.0252392
Stockholm University,59.366141,18.059593
Stony Brook University,40.9149,-73.1259
Sylhet Agricultural University,24.910879,91.9017884
Symbiosis International (Deemed University),18.5759161,73.9087966
Tahri Mohammed University,31.6,-2.234
Taras Shevchenko National University of Kyiv,50.3842474,30.4742873
Technical University of Munich,48.2654976,11.6692249
Temple University,39.981188,-75.1562828
Texas A&M University,30.6108618,-96.3520606
Texas State University,29.8910885,-97.9376214
"Thales, cortAIx Labs",48.7264,2.2799
The First Affiliated Hospital of Xinjiang Medical University,43.8379418,87.5794461
The Hong Kong Polytechnic University,22.3044867,114.1796935
The Ohio State University,40.0056982,-83.0286573
The University of North Carolina at Chapel Hill,35.9,-79.0468
Tianjin University,39.1072533,117.1778919
Tsinghua University,40.0022905,116.320963
"UCLouvain, Ottignies?Louvain?la?Neuve, Belgium",50.669841,4.601382
UMass Lowel,42.6519,-71.3174
UMass Lowell,42.6519097,-71.3173628
Univ of Nebraska Omaha,41.2565,-96.0091
University Center Nour Bachir,33.6593,1.0683
University Malaya,3.1600672,101.69134
